Max similarity: 0.550253
Total matches: 3900

score: 0.550253 | segment id: 10 | term: "Hawaiʻi Commission on National and Community Service" | text: "Followed by County of Hawaii Office of Housing and Community Development."
score: 0.332908 | segment id: 64 | term: "Mauna Kea" | text: "Tax Foundation of Hawaii with comments."
score: 0.332338 | segment id: 7 | term: "State Departments" | text: "It requires a report to the legislature."
score: 0.332279 | segment id: 38 | term: "Candidate Advisory Council" | text: "Next we have County of Hawaii Office of Housing and Community Development in support, Kohala Community Land Trust in support, Council for Native Hawaiian Advancement in support, Maui Chamber of Commer"
score: 0.328579 | segment id: 29 | term: "Hawaiʻi Commission on National and Community Service" | text: "Note that there are five HUD-certified housing counseling agencies in the state."
score: 0.328193 | segment id: 101 | term: "Candidate Advisory Council" | text: "Vice chair votes aye."
score: 0.327085 | segment id: 99 | term: "Candidate Advisory Council" | text: "Members, HB 1428, chair's recommendation is to pass with amendments."
score: 0.325979 | segment id: 123 | term: "Candidate Advisory Council" | text: "Members, HB 286, Chair's recommendation is to pass with amendments."
score: 0.325071 | segment id: 105 | term: "Center on Nursing Advisory Board" | text: "Chair recommendation is adopted."
score: 0.324978 | segment id: 103 | term: "west oahu" | text: "Senator Kanuha?"
score: 0.324129 | segment id: 108 | term: "Hawaiʻi Teacher Standards Board" | text: "2A to replace the income restriction with qualified residents as defined by HRS 201H-32, also prioritizing applications requiring the lowest amount of funds per unit per year and further defecting the"
score: 0.323937 | segment id: 21 | term: "Hawaiʻi Commission on National and Community Service" | text: "I am testifying in support of HB 1428, HD1, and I believe our community can benefit from financial education, one-on-one guidance counseling, and effective interventions that support them to remain ho"
score: 0.323765 | segment id: 67 | term: "Aloha Stadium" | text: "Maui Chamber of Commerce in support, and several individuals in support."
score: 0.323517 | segment id: 108 | term: "Hawaiʻi Medical Education Council" | text: "2A to replace the income restriction with qualified residents as defined by HRS 201H-32, also prioritizing applications requiring the lowest amount of funds per unit per year and further defecting the"
score: 0.322932 | segment id: 93 | term: "Candidate Advisory Council" | text: "Chair's recommendation will be to pass with amendments to further defect the date."
score: 0.321825 | segment id: 67 | term: "Hawaiʻi Institute of Marine Biology" | text: "Maui Chamber of Commerce in support, and several individuals in support."
score: 0.318763 | segment id: 17 | term: "Aloha Stadium" | text: "I'd like to say that houselessness continues to be a prevalent issue in Hawaii, with the ever-increasing cost of housing and lack of services aimed to support vulnerable populations."
score: 0.318475 | segment id: 10 | term: "State Departments" | text: "Followed by County of Hawaii Office of Housing and Community Development."
score: 0.318310 | segment id: 103 | term: "Research Corporation of the University of Hawaiʻi" | text: "Senator Kanuha?"
score: 0.316999 | segment id: 13 | term: "Hawaiʻi Commission on National and Community Service" | text: "Good afternoon, Chair Chang and members of the Senate Committee on Housing."
score: 0.315119 | segment id: 95 | term: "Hawaiʻi Medical Education Council" | text: "The chair also wants to note in the committee report that home ownership was within reach for most Hawaii residents in the 1950s and 60s, not because of their greater participation in housing counseli"
score: 0.315091 | segment id: 14 | term: "John A. Burns School of Medicine" | text: "My name is A. Jason Warren, a graduate student at the University of Hawaii Manoa, pursuing my master's in social work."
score: 0.314648 | segment id: 88 | term: "Mauna Kea" | text: "We'd also like to welcome Senator Kanuha."
score: 0.314219 | segment id: 123 | term: "Hawaiʻi Teacher Standards Board" | text: "Members, HB 286, Chair's recommendation is to pass with amendments."
score: 0.314194 | segment id: 113 | term: "Hawaiʻi Teacher Standards Board" | text: "Members, HB 833, Chair's recommendation is to pass with amendments."
score: 0.313621 | segment id: 14 | term: "Hawaiʻi Institute of Marine Biology" | text: "My name is A. Jason Warren, a graduate student at the University of Hawaii Manoa, pursuing my master's in social work."
score: 0.313114 | segment id: 107 | term: "Candidate Advisory Council" | text: "For HB 833 relating to community land trust, the chair's recommendation will again to pass with amendments."
score: 0.312820 | segment id: 111 | term: "Candidate Advisory Council" | text: "If not, HB 833, Chair's recommendation is to pass with amendments."
score: 0.311100 | segment id: 99 | term: "Hawaiʻi Teacher Standards Board" | text: "Members, HB 1428, chair's recommendation is to pass with amendments."
score: 0.310483 | segment id: 17 | term: "Mauna Kea" | text: "I'd like to say that houselessness continues to be a prevalent issue in Hawaii, with the ever-increasing cost of housing and lack of services aimed to support vulnerable populations."
score: 0.308611 | segment id: 21 | term: "Hawaiʻi Medical Education Council" | text: "I am testifying in support of HB 1428, HD1, and I believe our community can benefit from financial education, one-on-one guidance counseling, and effective interventions that support them to remain ho"
score: 0.307882 | segment id: 68 | term: "Candidate Advisory Council" | text: "Andrew Crossland, Judy Ilar, Luella Vidinha, Chanara K. Richmond, Glenn Cogomita, Jacob Wiencek, and also Susan Wattis in opposition."
score: 0.307841 | segment id: 19 | term: "Hawaiʻi Institute of Marine Biology" | text: "thank you next we have janae wong in support aloha chair chain vice chair um my name is janae and i'm a graduate student at the university of hawaii at manoa"
score: 0.307489 | segment id: 29 | term: "Hawaiʻi Medical Education Council" | text: "Note that there are five HUD-certified housing counseling agencies in the state."
score: 0.306891 | segment id: 88 | term: "Aloha Stadium" | text: "We'd also like to welcome Senator Kanuha."
score: 0.306149 | segment id: 6 | term: "Hawaiʻi Commission on National and Community Service" | text: "Our first bill today is HB 1428, relating to housing, which appropriates funds for HHFDC to allocate to housing counseling agencies certified by the U.S. Department of Housing and Urban Development to"
score: 0.306139 | segment id: 69 | term: "Hawaiʻi Teacher Standards Board" | text: "Is there anyone else wishing to testify on HB 286?"
score: 0.305757 | segment id: 108 | term: "Research Corporation of the University of Hawaiʻi" | text: "2A to replace the income restriction with qualified residents as defined by HRS 201H-32, also prioritizing applications requiring the lowest amount of funds per unit per year and further defecting the"
score: 0.304388 | segment id: 29 | term: "Candidate Advisory Council" | text: "Note that there are five HUD-certified housing counseling agencies in the state."
score: 0.303827 | segment id: 29 | term: "Education Commission of the States" | text: "Note that there are five HUD-certified housing counseling agencies in the state."
score: 0.303392 | segment id: 98 | term: "Candidate Advisory Council" | text: "Chair votes aye."
score: 0.303392 | segment id: 100 | term: "Candidate Advisory Council" | text: "Chair votes aye."
score: 0.303392 | segment id: 112 | term: "Candidate Advisory Council" | text: "Chair votes aye."
score: 0.303392 | segment id: 114 | term: "Candidate Advisory Council" | text: "Chair votes aye."
score: 0.303392 | segment id: 122 | term: "Candidate Advisory Council" | text: "Chair votes aye."
score: 0.303392 | segment id: 124 | term: "Candidate Advisory Council" | text: "Chair votes aye."
score: 0.302386 | segment id: 116 | term: "Candidate Advisory Council" | text: "Any members voting no?"
score: 0.302386 | segment id: 126 | term: "Candidate Advisory Council" | text: "Any members voting no?"
score: 0.302215 | segment id: 19 | term: "Aloha Stadium" | text: "thank you next we have janae wong in support aloha chair chain vice chair um my name is janae and i'm a graduate student at the university of hawaii at manoa"
score: 0.301216 | segment id: 88 | term: "west oahu" | text: "We'd also like to welcome Senator Kanuha."
score: 0.299991 | segment id: 111 | term: "Hawaiʻi Teacher Standards Board" | text: "If not, HB 833, Chair's recommendation is to pass with amendments."
score: 0.299567 | segment id: 19 | term: "Hawaiʻi Medical Education Council" | text: "thank you next we have janae wong in support aloha chair chain vice chair um my name is janae and i'm a graduate student at the university of hawaii at manoa"
score: 0.299223 | segment id: 95 | term: "Research Corporation of the University of Hawaiʻi" | text: "The chair also wants to note in the committee report that home ownership was within reach for most Hawaii residents in the 1950s and 60s, not because of their greater participation in housing counseli"
score: 0.298029 | segment id: 24 | term: "Hawaiʻi Teacher Standards Board" | text: "Is there anyone else wishing to testify on HB 1428?"
score: 0.297723 | segment id: 111 | term: "Board of Regents" | text: "If not, HB 833, Chair's recommendation is to pass with amendments."
score: 0.296795 | segment id: 67 | term: "Candidate Advisory Council" | text: "Maui Chamber of Commerce in support, and several individuals in support."
score: 0.296576 | segment id: 14 | term: "west oahu" | text: "My name is A. Jason Warren, a graduate student at the University of Hawaii Manoa, pursuing my master's in social work."
score: 0.295590 | segment id: 108 | term: "Candidate Advisory Council" | text: "2A to replace the income restriction with qualified residents as defined by HRS 201H-32, also prioritizing applications requiring the lowest amount of funds per unit per year and further defecting the"
score: 0.295278 | segment id: 7 | term: "Post-Secondary Education Commission" | text: "It requires a report to the legislature."
score: 0.294777 | segment id: 108 | term: "304a" | text: "2A to replace the income restriction with qualified residents as defined by HRS 201H-32, also prioritizing applications requiring the lowest amount of funds per unit per year and further defecting the"
score: 0.294262 | segment id: 99 | term: "Education Commission of the States" | text: "Members, HB 1428, chair's recommendation is to pass with amendments."
score: 0.294261 | segment id: 41 | term: "Hawaiʻi Medical Education Council" | text: "Okay, Chair has a question for HHFDC."
score: 0.294172 | segment id: 21 | term: "Hawaiʻi Teacher Standards Board" | text: "I am testifying in support of HB 1428, HD1, and I believe our community can benefit from financial education, one-on-one guidance counseling, and effective interventions that support them to remain ho"
score: 0.293506 | segment id: 95 | term: "Hawaiʻi Teacher Standards Board" | text: "The chair also wants to note in the committee report that home ownership was within reach for most Hawaii residents in the 1950s and 60s, not because of their greater participation in housing counseli"
score: 0.292905 | segment id: 101 | term: "Board of Regents" | text: "Vice chair votes aye."
score: 0.292894 | segment id: 17 | term: "Research Corporation of the University of Hawaiʻi" | text: "I'd like to say that houselessness continues to be a prevalent issue in Hawaii, with the ever-increasing cost of housing and lack of services aimed to support vulnerable populations."
score: 0.292889 | segment id: 113 | term: "Education Commission of the States" | text: "Members, HB 833, Chair's recommendation is to pass with amendments."
score: 0.292497 | segment id: 41 | term: "Hawaiʻi Commission on National and Community Service" | text: "Okay, Chair has a question for HHFDC."
score: 0.292163 | segment id: 108 | term: "west oahu" | text: "2A to replace the income restriction with qualified residents as defined by HRS 201H-32, also prioritizing applications requiring the lowest amount of funds per unit per year and further defecting the"
score: 0.291408 | segment id: 32 | term: "Hawaiʻi Commission on National and Community Service" | text: "We also note that these housing counseling agencies rely on federal funds to provide their current services, and with the current uncertainties surrounding federal funding, there is a chance that they"
score: 0.291159 | segment id: 68 | term: "Center on Nursing Advisory Board" | text: "Andrew Crossland, Judy Ilar, Luella Vidinha, Chanara K. Richmond, Glenn Cogomita, Jacob Wiencek, and also Susan Wattis in opposition."
score: 0.291150 | segment id: 107 | term: "Hawaiʻi Teacher Standards Board" | text: "For HB 833 relating to community land trust, the chair's recommendation will again to pass with amendments."
score: 0.290984 | segment id: 28 | term: "Hawaiʻi Commission on National and Community Service" | text: "How much funding should be appropriated to these housing counseling agencies?"
score: 0.290104 | segment id: 120 | term: "302a-431" | text: "um with technical non-substantive amendments for the purposes of clarity and consistency we'll also further defect the date and note in the committee report the change to ten thousand dollars um for a"
score: 0.289988 | segment id: 110 | term: "Candidate Advisory Council" | text: "Members, any discussion?"
score: 0.288661 | segment id: 67 | term: "Hawaiʻi Teacher Standards Board" | text: "Maui Chamber of Commerce in support, and several individuals in support."
score: 0.287394 | segment id: 95 | term: "west oahu" | text: "The chair also wants to note in the committee report that home ownership was within reach for most Hawaii residents in the 1950s and 60s, not because of their greater participation in housing counseli"
score: 0.287092 | segment id: 123 | term: "Education Commission of the States" | text: "Members, HB 286, Chair's recommendation is to pass with amendments."
score: 0.286509 | segment id: 67 | term: "west oahu" | text: "Maui Chamber of Commerce in support, and several individuals in support."
score: 0.286319 | segment id: 113 | term: "Hawaiʻi Medical Education Council" | text: "Members, HB 833, Chair's recommendation is to pass with amendments."
score: 0.284655 | segment id: 25 | term: "Candidate Advisory Council" | text: "If not, I'd like to welcome Vice Chair Hashimoglu and Senator Aquino to this meeting."
score: 0.283801 | segment id: 103 | term: "Aloha Stadium" | text: "Senator Kanuha?"
score: 0.282797 | segment id: 17 | term: "Hawaiʻi Medical Education Council" | text: "I'd like to say that houselessness continues to be a prevalent issue in Hawaii, with the ever-increasing cost of housing and lack of services aimed to support vulnerable populations."
score: 0.281279 | segment id: 62 | term: "Hawaiʻi Teacher Standards Board" | text: "Our first testifier is Department of Taxation with comments."
score: 0.279676 | segment id: 32 | term: "Candidate Advisory Council" | text: "We also note that these housing counseling agencies rely on federal funds to provide their current services, and with the current uncertainties surrounding federal funding, there is a chance that they"
score: 0.279551 | segment id: 103 | term: "Hawaiʻi Teacher Standards Board" | text: "Senator Kanuha?"
score: 0.278585 | segment id: 119 | term: "Hawaiʻi Teacher Standards Board" | text: "And then finally, HB 286, relating to the individual housing account program, Chair's recommendation will be to pass with this measure with amendments."
score: 0.278367 | segment id: 88 | term: "Hawaiʻi Teacher Standards Board" | text: "We'd also like to welcome Senator Kanuha."
score: 0.277510 | segment id: 105 | term: "Hawaiʻi Teacher Standards Board" | text: "Chair recommendation is adopted."
score: 0.276594 | segment id: 105 | term: "Hawaiʻi Medical Education Council" | text: "Chair recommendation is adopted."
score: 0.276181 | segment id: 88 | term: "Research Corporation of the University of Hawaiʻi" | text: "We'd also like to welcome Senator Kanuha."
score: 0.276139 | segment id: 52 | term: "College" | text: "Yes."
score: 0.275580 | segment id: 121 | term: "Hawaiʻi Teacher Standards Board" | text: "Okay, if not, for HB 286, Chair's recommendation is to pass with amendments."
score: 0.275476 | segment id: 121 | term: "Board of Regents" | text: "Okay, if not, for HB 286, Chair's recommendation is to pass with amendments."
score: 0.275324 | segment id: 18 | term: "Hawaiʻi Teacher Standards Board" | text: "It saddens me growing up on the island to see the housing crisis worsen throughout the years, and I urge the community to support House Bill 1428-HDI, and I thank you for allowing me the opportunity t"
score: 0.274681 | segment id: 99 | term: "Hawaiʻi Medical Education Council" | text: "Members, HB 1428, chair's recommendation is to pass with amendments."
score: 0.274479 | segment id: 20 | term: "College" | text: "I am expressing this testimony as my own and does not necessarily reflect the school."
score: 0.274377 | segment id: 19 | term: "Hawaiʻi Teacher Standards Board" | text: "thank you next we have janae wong in support aloha chair chain vice chair um my name is janae and i'm a graduate student at the university of hawaii at manoa"
score: 0.274331 | segment id: 10 | term: "Post-Secondary Education Commission" | text: "Followed by County of Hawaii Office of Housing and Community Development."
score: 0.273985 | segment id: 21 | term: "Candidate Advisory Council" | text: "I am testifying in support of HB 1428, HD1, and I believe our community can benefit from financial education, one-on-one guidance counseling, and effective interventions that support them to remain ho"
score: 0.273554 | segment id: 35 | term: "Hawaiʻi Medical Education Council" | text: "It authorizes HHFDC to establish a five-year community land trust equity pilot program to provide community land trusts with a line of credit to fund the acquisition, rehabilitation, renovation, or co"
score: 0.273377 | segment id: 107 | term: "Board of Regents" | text: "For HB 833 relating to community land trust, the chair's recommendation will again to pass with amendments."
score: 0.272469 | segment id: 41 | term: "Hawaiʻi Teacher Standards Board" | text: "Okay, Chair has a question for HHFDC."
score: 0.272112 | segment id: 29 | term: "Western Interstate Commission for Higher Education" | text: "Note that there are five HUD-certified housing counseling agencies in the state."
score: 0.271582 | segment id: 6 | term: "Candidate Advisory Council" | text: "Our first bill today is HB 1428, relating to housing, which appropriates funds for HHFDC to allocate to housing counseling agencies certified by the U.S. Department of Housing and Urban Development to"
score: 0.270998 | segment id: 123 | term: "302a-431" | text: "Members, HB 286, Chair's recommendation is to pass with amendments."
score: 0.270832 | segment id: 6 | term: "Hawaiʻi Medical Education Council" | text: "Our first bill today is HB 1428, relating to housing, which appropriates funds for HHFDC to allocate to housing counseling agencies certified by the U.S. Department of Housing and Urban Development to"
score: 0.270740 | segment id: 41 | term: "Candidate Advisory Council" | text: "Okay, Chair has a question for HHFDC."
score: 0.270483 | segment id: 6 | term: "302a-431" | text: "Our first bill today is HB 1428, relating to housing, which appropriates funds for HHFDC to allocate to housing counseling agencies certified by the U.S. Department of Housing and Urban Development to"
score: 0.270400 | segment id: 99 | term: "302a-431" | text: "Members, HB 1428, chair's recommendation is to pass with amendments."
score: 0.269988 | segment id: 19 | term: "Mauna Kea" | text: "thank you next we have janae wong in support aloha chair chain vice chair um my name is janae and i'm a graduate student at the university of hawaii at manoa"
score: 0.269809 | segment id: 18 | term: "Hawaiʻi Medical Education Council" | text: "It saddens me growing up on the island to see the housing crisis worsen throughout the years, and I urge the community to support House Bill 1428-HDI, and I thank you for allowing me the opportunity t"
score: 0.269707 | segment id: 18 | term: "Aloha Stadium" | text: "It saddens me growing up on the island to see the housing crisis worsen throughout the years, and I urge the community to support House Bill 1428-HDI, and I thank you for allowing me the opportunity t"
score: 0.269703 | segment id: 13 | term: "Board of Regents" | text: "Good afternoon, Chair Chang and members of the Senate Committee on Housing."
score: 0.269672 | segment id: 115 | term: "Board of Regents" | text: "Any members voting with reservations?"
score: 0.269672 | segment id: 125 | term: "Board of Regents" | text: "Any members voting with reservations?"
score: 0.269465 | segment id: 121 | term: "Candidate Advisory Council" | text: "Okay, if not, for HB 286, Chair's recommendation is to pass with amendments."
score: 0.268676 | segment id: 17 | term: "Hawaiʻi Institute of Marine Biology" | text: "I'd like to say that houselessness continues to be a prevalent issue in Hawaii, with the ever-increasing cost of housing and lack of services aimed to support vulnerable populations."
score: 0.267632 | segment id: 69 | term: "Board of Regents" | text: "Is there anyone else wishing to testify on HB 286?"
score: 0.266987 | segment id: 94 | term: "Hawaiʻi Medical Education Council" | text: "And the committee report will note HHFDC's $1.5 million request for appropriations."
score: 0.266586 | segment id: 14 | term: "Hawaiʻi Commission on National and Community Service" | text: "My name is A. Jason Warren, a graduate student at the University of Hawaii Manoa, pursuing my master's in social work."
score: 0.266390 | segment id: 13 | term: "Candidate Advisory Council" | text: "Good afternoon, Chair Chang and members of the Senate Committee on Housing."
score: 0.265943 | segment id: 32 | term: "State Departments" | text: "We also note that these housing counseling agencies rely on federal funds to provide their current services, and with the current uncertainties surrounding federal funding, there is a chance that they"
score: 0.265857 | segment id: 35 | term: "Hawaiʻi Teacher Standards Board" | text: "It authorizes HHFDC to establish a five-year community land trust equity pilot program to provide community land trusts with a line of credit to fund the acquisition, rehabilitation, renovation, or co"
score: 0.265341 | segment id: 119 | term: "Candidate Advisory Council" | text: "And then finally, HB 286, relating to the individual housing account program, Chair's recommendation will be to pass with this measure with amendments."
score: 0.265207 | segment id: 78 | term: "Candidate Advisory Council" | text: "That would be a policy question."
score: 0.264945 | segment id: 94 | term: "Hawaiʻi Commission on National and Community Service" | text: "And the committee report will note HHFDC's $1.5 million request for appropriations."
score: 0.264403 | segment id: 121 | term: "302a-431" | text: "Okay, if not, for HB 286, Chair's recommendation is to pass with amendments."
score: 0.264163 | segment id: 10 | term: "Western Interstate Commission for Higher Education" | text: "Followed by County of Hawaii Office of Housing and Community Development."
score: 0.264099 | segment id: 60 | term: "302a-431" | text: "Our last bill today is HB 286 relating to the Individual Housing Account Program."
score: 0.264046 | segment id: 97 | term: "Candidate Advisory Council" | text: "Okay, if not, again, for HB 1428, chair's recommendation is to pass with amendments."
score: 0.263710 | segment id: 107 | term: "Hawaiʻi Commission on National and Community Service" | text: "For HB 833 relating to community land trust, the chair's recommendation will again to pass with amendments."
score: 0.263571 | segment id: 110 | term: "Center on Nursing Advisory Board" | text: "Members, any discussion?"
score: 0.263328 | segment id: 19 | term: "Candidate Advisory Council" | text: "thank you next we have janae wong in support aloha chair chain vice chair um my name is janae and i'm a graduate student at the university of hawaii at manoa"
score: 0.263241 | segment id: 17 | term: "Hawaiʻi Teacher Standards Board" | text: "I'd like to say that houselessness continues to be a prevalent issue in Hawaii, with the ever-increasing cost of housing and lack of services aimed to support vulnerable populations."
score: 0.263232 | segment id: 6 | term: "State Departments" | text: "Our first bill today is HB 1428, relating to housing, which appropriates funds for HHFDC to allocate to housing counseling agencies certified by the U.S. Department of Housing and Urban Development to"
score: 0.263083 | segment id: 119 | term: "Board of Regents" | text: "And then finally, HB 286, relating to the individual housing account program, Chair's recommendation will be to pass with this measure with amendments."
score: 0.260995 | segment id: 39 | term: "Candidate Advisory Council" | text: "Is there anyone else wishing to testify on this measure?"
score: 0.260867 | segment id: 119 | term: "302a-431" | text: "And then finally, HB 286, relating to the individual housing account program, Chair's recommendation will be to pass with this measure with amendments."
