Max similarity: 0.546386
Total matches: 15450

score: 0.546386 | segment id: 348 | term: "university" | text: "The university is a big organization."
score: 0.418730 | segment id: 473 | term: "Hawaiʻi Commission on National and Community Service" | text: "Hawaii Conference Center Revolving Fund, and recommendation is to pass as is."
score: 0.415385 | segment id: 85 | term: "Hawaiʻi Institute of Marine Biology" | text: "Ted Bowen on behalf of the Hawaii Reef and Ocean Coalition and the Climate Protectors Hawaii in strong support of this bill."
score: 0.413477 | segment id: 47 | term: "Aloha Stadium" | text: "This is for various conference center programs in Hilo."
score: 0.412192 | segment id: 146 | term: "university" | text: "So, University of Hawaii, Parliamentary."
score: 0.410288 | segment id: 444 | term: "Hawaiʻi Medical Education Council" | text: "Calling back to order the Committee on Higher Education."
score: 0.407146 | segment id: 497 | term: "Research Corporation of the University of Hawaiʻi" | text: "moving on to house bill 1320 house draft one this is requiring the university of hawaii to collect and analyze and publicly report certain graduate outcome data members i'm kind of torn on this measur"
score: 0.407118 | segment id: 444 | term: "Western Interstate Commission for Higher Education" | text: "Calling back to order the Committee on Higher Education."
score: 0.407008 | segment id: 473 | term: "Research Corporation of the University of Hawaiʻi" | text: "Hawaii Conference Center Revolving Fund, and recommendation is to pass as is."
score: 0.406934 | segment id: 43 | term: "Hawaiʻi Medical Education Council" | text: "This relates to the University of Hawaii Conference Center Revolving Fund."
score: 0.406770 | segment id: 444 | term: "Education Commission of the States" | text: "Calling back to order the Committee on Higher Education."
score: 0.405970 | segment id: 12 | term: "west oahu" | text: "This testimony is presented on behalf of the University of Hawaii system, including the UH Manoa School of Nursing and Dental Hygiene, UH West O'ahu, and UH Hilo School of Nursing in strong support of"
score: 0.405863 | segment id: 394 | term: "Tuition" | text: "that carries over every year um on that tuition fund and that i think they use it for and i'm sure kelbert can can give us more on that uh to fund special positions um"
score: 0.405652 | segment id: 9 | term: "Board of Regents" | text: "This is relating to the University of Hawaii, appropriates funds to the University of Hawaii system for various nursing programs."
score: 0.405416 | segment id: 47 | term: "Hawaiʻi Teacher Standards Board" | text: "This is for various conference center programs in Hilo."
score: 0.403974 | segment id: 12 | term: "Hawaiʻi Commission on National and Community Service" | text: "This testimony is presented on behalf of the University of Hawaii system, including the UH Manoa School of Nursing and Dental Hygiene, UH West O'ahu, and UH Hilo School of Nursing in strong support of"
score: 0.403889 | segment id: 146 | term: "west oahu" | text: "So, University of Hawaii, Parliamentary."
score: 0.403700 | segment id: 512 | term: "Hawaiʻi Commission on National and Community Service" | text: "This is relating to the University of Hawaii relief funding."
score: 0.403308 | segment id: 512 | term: "Hawaiʻi Medical Education Council" | text: "This is relating to the University of Hawaii relief funding."
score: 0.403261 | segment id: 419 | term: "Research Corporation of the University of Hawaiʻi" | text: "graduate who was going to attend the University of Hawaii."
score: 0.402448 | segment id: 263 | term: "university" | text: "So I always say this, not just to the university, but I say this all the time."
score: 0.401468 | segment id: 273 | term: "Post-Secondary Education Commission" | text: "But I mean, one of the things that has changed sort of nationally in the higher ed landscape is this focus on postgraduate outcomes."
score: 0.401404 | segment id: 360 | term: "Hawaiʻi Medical Education Council" | text: "We are on House Bill 1171, House Draft 2, relating to the University of Hawaii relief funding allows the border regions to use funds in the University of Hawaii tuition and fee special fund for studen"
score: 0.400257 | segment id: 146 | term: "Hawaiʻi Medical Education Council" | text: "So, University of Hawaii, Parliamentary."
score: 0.398791 | segment id: 220 | term: "Research Corporation of the University of Hawaiʻi" | text: "So in the entire University of Hawaii, do you teach or have anybody to do data visualization?"
score: 0.398527 | segment id: 447 | term: "university" | text: "with the language in 673, which is the nursing one that already the university supported."
score: 0.398418 | segment id: 419 | term: "west oahu" | text: "graduate who was going to attend the University of Hawaii."
score: 0.398143 | segment id: 375 | term: "Hawaiʻi Institute of Marine Biology" | text: "We are the representative body for the students, 50,000-odd students of the University of Hawaii across the 10-campus system."
score: 0.396857 | segment id: 146 | term: "Hawaiʻi Institute of Marine Biology" | text: "So, University of Hawaii, Parliamentary."
score: 0.396638 | segment id: 88 | term: "Mauna Kea" | text: "We've got the climate, we've got places in Hawaii that can grow"
score: 0.395153 | segment id: 57 | term: "Hawaiʻi Medical Education Council" | text: "In the statute, there are currently two conference center statutes, one for UH Hilo and one for the community colleges."
score: 0.394875 | segment id: 419 | term: "Aloha Stadium" | text: "graduate who was going to attend the University of Hawaii."
score: 0.394231 | segment id: 154 | term: "Hawaiʻi Institute of Marine Biology" | text: "I mean, can't the University of Hawaii bring together?"
score: 0.394192 | segment id: 512 | term: "west oahu" | text: "This is relating to the University of Hawaii relief funding."
score: 0.391152 | segment id: 154 | term: "Hawaiʻi Medical Education Council" | text: "I mean, can't the University of Hawaii bring together?"
score: 0.388132 | segment id: 372 | term: "Hawaiʻi Commission on National and Community Service" | text: "Aloha, Chair Kim, Vice Chair Kidani."
score: 0.387617 | segment id: 473 | term: "Hawaiʻi Teacher Standards Board" | text: "Hawaii Conference Center Revolving Fund, and recommendation is to pass as is."
score: 0.387509 | segment id: 392 | term: "Tuition" | text: "Yes, but I think that if it's, that's why I'm asking you the question that if it's tuition funds and fees, which is paid by the students, as opposed to the general fund, which we give out from the ove"
score: 0.386305 | segment id: 497 | term: "Hawaiʻi Medical Education Council" | text: "moving on to house bill 1320 house draft one this is requiring the university of hawaii to collect and analyze and publicly report certain graduate outcome data members i'm kind of torn on this measur"
score: 0.385875 | segment id: 360 | term: "Hawaiʻi Teacher Standards Board" | text: "We are on House Bill 1171, House Draft 2, relating to the University of Hawaii relief funding allows the border regions to use funds in the University of Hawaii tuition and fee special fund for studen"
score: 0.385567 | segment id: 360 | term: "west oahu" | text: "We are on House Bill 1171, House Draft 2, relating to the University of Hawaii relief funding allows the border regions to use funds in the University of Hawaii tuition and fee special fund for studen"
score: 0.385487 | segment id: 86 | term: "Hawaiʻi Institute of Marine Biology" | text: "We have an opportunity here in Hawaii to develop a homegrown building materials with plants industry with green jobs in both agriculture and production."
score: 0.385425 | segment id: 146 | term: "Aloha Stadium" | text: "So, University of Hawaii, Parliamentary."
score: 0.384810 | segment id: 445 | term: "Hawaiʻi Teacher Standards Board" | text: "We are in decision-making, starting off with House Bill 442, House Draft 1 relating to the University of Hawaii and the various nursing programs."
score: 0.383128 | segment id: 57 | term: "Hawaiʻi Teacher Standards Board" | text: "In the statute, there are currently two conference center statutes, one for UH Hilo and one for the community colleges."
score: 0.382622 | segment id: 445 | term: "Research Corporation of the University of Hawaiʻi" | text: "We are in decision-making, starting off with House Bill 442, House Draft 1 relating to the University of Hawaii and the various nursing programs."
score: 0.382509 | segment id: 473 | term: "Hawaiʻi Medical Education Council" | text: "Hawaii Conference Center Revolving Fund, and recommendation is to pass as is."
score: 0.382028 | segment id: 375 | term: "Hawaiʻi Commission on National and Community Service" | text: "We are the representative body for the students, 50,000-odd students of the University of Hawaii across the 10-campus system."
score: 0.381951 | segment id: 146 | term: "Hawaiʻi Teacher Standards Board" | text: "So, University of Hawaii, Parliamentary."
score: 0.381885 | segment id: 419 | term: "Hawaiʻi Medical Education Council" | text: "graduate who was going to attend the University of Hawaii."
score: 0.381843 | segment id: 375 | term: "university" | text: "We are the representative body for the students, 50,000-odd students of the University of Hawaii across the 10-campus system."
score: 0.381785 | segment id: 374 | term: "Hawaiʻi Commission on National and Community Service" | text: "My name is Arnold Sturgis, here on behalf of the University of Hawaii Student Caucus."
score: 0.380182 | segment id: 419 | term: "university" | text: "graduate who was going to attend the University of Hawaii."
score: 0.379710 | segment id: 154 | term: "university" | text: "I mean, can't the University of Hawaii bring together?"
score: 0.379465 | segment id: 473 | term: "Aloha Stadium" | text: "Hawaii Conference Center Revolving Fund, and recommendation is to pass as is."
score: 0.379210 | segment id: 281 | term: "Post-Secondary Education Commission" | text: "This provides them with another tool and it also provides us with another tool for thinking through the postgraduate outcomes that now are a measure of what higher ed is needing to be doing."
score: 0.379178 | segment id: 419 | term: "Hawaiʻi Institute of Marine Biology" | text: "graduate who was going to attend the University of Hawaii."
score: 0.379173 | segment id: 9 | term: "Hawaiʻi Teacher Standards Board" | text: "This is relating to the University of Hawaii, appropriates funds to the University of Hawaii system for various nursing programs."
score: 0.377709 | segment id: 9 | term: "Western Interstate Commission for Higher Education" | text: "This is relating to the University of Hawaii, appropriates funds to the University of Hawaii system for various nursing programs."
score: 0.377705 | segment id: 0 | term: "Post-Secondary Education Commission" | text: "Good afternoon and welcome to the Committee on Higher Education."
score: 0.377328 | segment id: 43 | term: "Hawaiʻi Commission on National and Community Service" | text: "This relates to the University of Hawaii Conference Center Revolving Fund."
score: 0.377283 | segment id: 432 | term: "university" | text: "I WANTED TO KNOW IF IT'S NON-UNIVERSITY STUDENTS, WOULD THIS FUND HELP THEM?"
score: 0.376708 | segment id: 375 | term: "west oahu" | text: "We are the representative body for the students, 50,000-odd students of the University of Hawaii across the 10-campus system."
score: 0.375436 | segment id: 18 | term: "487n" | text: "637, which is pretty much the same."
score: 0.375314 | segment id: 328 | term: "Tuition" | text: "It costs money."
score: 0.374972 | segment id: 390 | term: "Tuition" | text: "just a little bit of help can go a long way especially for people in need like that okay and uh it's in general do you think that your the student tuition fund should be used for other things that not"
score: 0.374580 | segment id: 58 | term: "Board of Regents" | text: "This bill just consolidates them into one conference center fund statute and then allows for all of the campuses to use a centralized fund."
score: 0.373636 | segment id: 512 | term: "Hawaiʻi Teacher Standards Board" | text: "This is relating to the University of Hawaii relief funding."
score: 0.373621 | segment id: 419 | term: "Hawaiʻi Teacher Standards Board" | text: "graduate who was going to attend the University of Hawaii."
score: 0.373199 | segment id: 9 | term: "Hawaiʻi Commission on National and Community Service" | text: "This is relating to the University of Hawaii, appropriates funds to the University of Hawaii system for various nursing programs."
score: 0.372774 | segment id: 57 | term: "Research Corporation of the University of Hawaiʻi" | text: "In the statute, there are currently two conference center statutes, one for UH Hilo and one for the community colleges."
score: 0.371769 | segment id: 497 | term: "Hawaiʻi Teacher Standards Board" | text: "moving on to house bill 1320 house draft one this is requiring the university of hawaii to collect and analyze and publicly report certain graduate outcome data members i'm kind of torn on this measur"
score: 0.371284 | segment id: 420 | term: "Scholarship" | text: "Did that come out of those tuition funds?"
score: 0.370504 | segment id: 348 | term: "Board of Regents" | text: "The university is a big organization."
score: 0.370394 | segment id: 12 | term: "Hawaiʻi Institute of Marine Biology" | text: "This testimony is presented on behalf of the University of Hawaii system, including the UH Manoa School of Nursing and Dental Hygiene, UH West O'ahu, and UH Hilo School of Nursing in strong support of"
score: 0.370370 | segment id: 374 | term: "Aloha Stadium" | text: "My name is Arnold Sturgis, here on behalf of the University of Hawaii Student Caucus."
score: 0.370343 | segment id: 220 | term: "Hawaiʻi Institute of Marine Biology" | text: "So in the entire University of Hawaii, do you teach or have anybody to do data visualization?"
score: 0.369708 | segment id: 57 | term: "Aloha Stadium" | text: "In the statute, there are currently two conference center statutes, one for UH Hilo and one for the community colleges."
score: 0.369516 | segment id: 282 | term: "Career and Technical Education" | text: "Part of my vocational rehab when I got hurt in construction to go out there and see what I wanted to do and go to higher learning or to a trade."
score: 0.368018 | segment id: 422 | term: "Scholarship" | text: "Did that come out of the tuition funds?"
score: 0.367020 | segment id: 154 | term: "west oahu" | text: "I mean, can't the University of Hawaii bring together?"
score: 0.366992 | segment id: 305 | term: "College" | text: "Because you ought to create this whole thing so when they go to college, they're going to be successful and when they can go graduate, whatever."
score: 0.366937 | segment id: 85 | term: "Research Corporation of the University of Hawaiʻi" | text: "Ted Bowen on behalf of the Hawaii Reef and Ocean Coalition and the Climate Protectors Hawaii in strong support of this bill."
score: 0.366875 | segment id: 85 | term: "Hawaiʻi Commission on National and Community Service" | text: "Ted Bowen on behalf of the Hawaii Reef and Ocean Coalition and the Climate Protectors Hawaii in strong support of this bill."
score: 0.366820 | segment id: 418 | term: "Research Corporation of the University of Hawaiʻi" | text: "committed to pay for four years of college for any Lahaina Luna."
score: 0.366777 | segment id: 372 | term: "Aloha Stadium" | text: "Aloha, Chair Kim, Vice Chair Kidani."
score: 0.366765 | segment id: 164 | term: "Board of Regents" | text: "I mean, they keep saying the legislature wants to control the university and tell you guys what to do, but you guys can do it."
score: 0.366546 | segment id: 34 | term: "Aloha Stadium" | text: "Mike Nguyen with Aloha Care."
score: 0.366310 | segment id: 214 | term: "Research Corporation of the University of Hawaiʻi" | text: "The other part of it is our institutional research office has a staff that does a lot of data analysis as well."
score: 0.365189 | segment id: 512 | term: "Hawaiʻi Institute of Marine Biology" | text: "This is relating to the University of Hawaii relief funding."
score: 0.364826 | segment id: 434 | term: "College" | text: "THEY WOULD NEED TO BE A UNIVERSITY."
score: 0.364159 | segment id: 256 | term: "College" | text: "the kids or whatever apply for whatever they do and you say you gotta go to a portal to figure out maybe what what what what area they go um isn't isn't that when they're in high school kind of thing "
score: 0.364087 | segment id: 379 | term: "Scholarship" | text: "Lately, these tuition special fund that takes all the student tuition have come under fire for various using the funds for various other things other than related to possibly students directly."
score: 0.364008 | segment id: 47 | term: "west oahu" | text: "This is for various conference center programs in Hilo."
score: 0.363979 | segment id: 394 | term: "Scholarship" | text: "that carries over every year um on that tuition fund and that i think they use it for and i'm sure kelbert can can give us more on that uh to fund special positions um"
score: 0.363675 | segment id: 34 | term: "Hawaiʻi Commission on National and Community Service" | text: "Mike Nguyen with Aloha Care."
score: 0.363585 | segment id: 85 | term: "Hawaiʻi Teacher Standards Board" | text: "Ted Bowen on behalf of the Hawaii Reef and Ocean Coalition and the Climate Protectors Hawaii in strong support of this bill."
score: 0.363395 | segment id: 127 | term: "Hawaiʻi Institute of Marine Biology" | text: "It could be really productive for Hawaii if we got things moving."
score: 0.363072 | segment id: 361 | term: "university" | text: "So, Deborah Halbert, you're testifying for the university."
score: 0.362950 | segment id: 222 | term: "Post-Secondary Education Commission" | text: "you know, requiring you to collect, analyze, publicly report the graduate outcome data."
score: 0.361896 | segment id: 43 | term: "Board of Regents" | text: "This relates to the University of Hawaii Conference Center Revolving Fund."
score: 0.361599 | segment id: 401 | term: "Tuition" | text: "as long as it's paying for you know services that we benefit from the students don't really see an issue we have several other funds that work sort of similarly where they take the uh the the monies c"
score: 0.361419 | segment id: 372 | term: "Hawaiʻi Medical Education Council" | text: "Aloha, Chair Kim, Vice Chair Kidani."
score: 0.360931 | segment id: 43 | term: "Aloha Stadium" | text: "This relates to the University of Hawaii Conference Center Revolving Fund."
score: 0.360691 | segment id: 445 | term: "Board of Regents" | text: "We are in decision-making, starting off with House Bill 442, House Draft 1 relating to the University of Hawaii and the various nursing programs."
score: 0.360641 | segment id: 232 | term: "Hawaiʻi Medical Education Council" | text: "Shouldn't you as the University of Hawaii have that data and put that data, make it public without us having to put together a bill?"
score: 0.359760 | segment id: 257 | term: "community college" | text: "a portal to figure out where where they go i mean then what is the purpose of having them i mean when you go to college a lot of them don't know what they're going to do anyway and that's the reason w"
score: 0.359316 | segment id: 200 | term: "Center on Nursing Advisory Board" | text: "Deborah Halbert, Vice President for Academic Strategy."
score: 0.358991 | segment id: 62 | term: "State Departments" | text: "Anybody from the Department of Agriculture?"
score: 0.358925 | segment id: 127 | term: "Hawaiʻi Commission on National and Community Service" | text: "It could be really productive for Hawaii if we got things moving."
score: 0.358880 | segment id: 151 | term: "Research Corporation of the University of Hawaiʻi" | text: "And in order to do that kind of analysis and get some experts on board to finalize, to have some kind of policy statement, we are thinking about say about 150,000 over two years to do all that work an"
score: 0.358685 | segment id: 61 | term: "Hawaiʻi Teacher Standards Board" | text: "okay thank you for that anyone else wishing to testify on this measure any questions members none we move forward house bill 1185 house draft 2 this is relating to agriculture establishes a plant-base"
score: 0.358587 | segment id: 372 | term: "Hawaiʻi Teacher Standards Board" | text: "Aloha, Chair Kim, Vice Chair Kidani."
score: 0.358491 | segment id: 431 | term: "university" | text: "EVEN THOSE STUDENTS WHO ALREADY HAVE THE MAXIMUM AMOUNT OF AID ALLOWABLE BY THE UNIVERSITY, BECAUSE THAT IS..."
score: 0.357804 | segment id: 444 | term: "Candidate Advisory Council" | text: "Calling back to order the Committee on Higher Education."
score: 0.357631 | segment id: 197 | term: "Hawaiʻi Institute of Marine Biology" | text: "We are on House Bill 1320, House Draft 1, relating to education, requires the University of Hawaii system to collect, analyze, and publicly report certain graduate outcome data, requires and appropria"
score: 0.357580 | segment id: 512 | term: "Aloha Stadium" | text: "This is relating to the University of Hawaii relief funding."
score: 0.357424 | segment id: 34 | term: "west oahu" | text: "Mike Nguyen with Aloha Care."
score: 0.356060 | segment id: 426 | term: "Scholarship" | text: "So it was sort of like a waiver of tuition for four years?"
score: 0.356022 | segment id: 374 | term: "Hawaiʻi Medical Education Council" | text: "My name is Arnold Sturgis, here on behalf of the University of Hawaii Student Caucus."
score: 0.355858 | segment id: 106 | term: "west oahu" | text: "And he said that a bamboo Hawaii-based timber business could be quite successful with export to the West Coast while addressing the local market as well."
score: 0.355141 | segment id: 374 | term: "Hawaiʻi Institute of Marine Biology" | text: "My name is Arnold Sturgis, here on behalf of the University of Hawaii Student Caucus."
score: 0.354653 | segment id: 88 | term: "west oahu" | text: "We've got the climate, we've got places in Hawaii that can grow"
score: 0.354628 | segment id: 9 | term: "university" | text: "This is relating to the University of Hawaii, appropriates funds to the University of Hawaii system for various nursing programs."
score: 0.354263 | segment id: 348 | term: "College" | text: "The university is a big organization."
score: 0.354059 | segment id: 57 | term: "Western Interstate Commission for Higher Education" | text: "In the statute, there are currently two conference center statutes, one for UH Hilo and one for the community colleges."
score: 0.354015 | segment id: 315 | term: "community college" | text: "Most of these are majors they've never heard of because high schools don't have them."
score: 0.353382 | segment id: 426 | term: "Western Interstate Commission for Higher Education" | text: "So it was sort of like a waiver of tuition for four years?"
score: 0.353341 | segment id: 154 | term: "Hawaiʻi Teacher Standards Board" | text: "I mean, can't the University of Hawaii bring together?"
score: 0.353216 | segment id: 348 | term: "Research Corporation of the University of Hawaiʻi" | text: "The university is a big organization."
score: 0.352930 | segment id: 419 | term: "College" | text: "graduate who was going to attend the University of Hawaii."
score: 0.352884 | segment id: 84 | term: "Candidate Advisory Council" | text: "Chair and Vice Chair Kidani and members of the committee."
score: 0.352244 | segment id: 154 | term: "Aloha Stadium" | text: "I mean, can't the University of Hawaii bring together?"
score: 0.351530 | segment id: 445 | term: "Hawaiʻi Commission on National and Community Service" | text: "We are in decision-making, starting off with House Bill 442, House Draft 1 relating to the University of Hawaii and the various nursing programs."
score: 0.351438 | segment id: 0 | term: "Board of Regents" | text: "Good afternoon and welcome to the Committee on Higher Education."
score: 0.350600 | segment id: 430 | term: "Scholarship" | text: "So under this bill, it would be open to any student."
score: 0.350539 | segment id: 375 | term: "Board of Regents" | text: "We are the representative body for the students, 50,000-odd students of the University of Hawaii across the 10-campus system."
score: 0.350156 | segment id: 345 | term: "university" | text: "Yes, so has the university looked within to see if there's."
score: 0.349566 | segment id: 47 | term: "Mauna Kea" | text: "This is for various conference center programs in Hilo."
score: 0.349123 | segment id: 200 | term: "Western Interstate Commission for Higher Education" | text: "Deborah Halbert, Vice President for Academic Strategy."
score: 0.348670 | segment id: 418 | term: "Scholarship" | text: "committed to pay for four years of college for any Lahaina Luna."
score: 0.348503 | segment id: 432 | term: "Scholarship" | text: "I WANTED TO KNOW IF IT'S NON-UNIVERSITY STUDENTS, WOULD THIS FUND HELP THEM?"
score: 0.347743 | segment id: 408 | term: "Western Interstate Commission for Higher Education" | text: "Yeah, the regions I understand is probably looking at increasing tuition, increasing in student housing fees and so forth."
score: 0.346234 | segment id: 360 | term: "Hawaiʻi Commission on National and Community Service" | text: "We are on House Bill 1171, House Draft 2, relating to the University of Hawaii relief funding allows the border regions to use funds in the University of Hawaii tuition and fee special fund for studen"
score: 0.345997 | segment id: 342 | term: "university" | text: "You know, they should analyze and look at how we spending responsibly taxpayers monies and tuition monies and I just hope that the university would."
score: 0.345906 | segment id: 408 | term: "Board of Regents" | text: "Yeah, the regions I understand is probably looking at increasing tuition, increasing in student housing fees and so forth."
score: 0.345127 | segment id: 58 | term: "Western Interstate Commission for Higher Education" | text: "This bill just consolidates them into one conference center fund statute and then allows for all of the campuses to use a centralized fund."
score: 0.345006 | segment id: 34 | term: "Hawaiʻi Medical Education Council" | text: "Mike Nguyen with Aloha Care."
score: 0.344978 | segment id: 0 | term: "Hawaiʻi Medical Education Council" | text: "Good afternoon and welcome to the Committee on Higher Education."
score: 0.344158 | segment id: 232 | term: "Hawaiʻi Institute of Marine Biology" | text: "Shouldn't you as the University of Hawaii have that data and put that data, make it public without us having to put together a bill?"
score: 0.343947 | segment id: 270 | term: "College" | text: "whole thing i'm for sharing data and getting things done to help our kids in college but again if you go to all high school filling all these applications or what you like me and you go over there and"
score: 0.343223 | segment id: 9 | term: "Hawaiʻi Institute of Marine Biology" | text: "This is relating to the University of Hawaii, appropriates funds to the University of Hawaii system for various nursing programs."
score: 0.343126 | segment id: 9 | term: "west oahu" | text: "This is relating to the University of Hawaii, appropriates funds to the University of Hawaii system for various nursing programs."
score: 0.342563 | segment id: 419 | term: "Mauna Kea" | text: "graduate who was going to attend the University of Hawaii."
score: 0.342079 | segment id: 146 | term: "Mauna Kea" | text: "So, University of Hawaii, Parliamentary."
score: 0.341571 | segment id: 432 | term: "Research Corporation of the University of Hawaiʻi" | text: "I WANTED TO KNOW IF IT'S NON-UNIVERSITY STUDENTS, WOULD THIS FUND HELP THEM?"
score: 0.341554 | segment id: 127 | term: "west oahu" | text: "It could be really productive for Hawaii if we got things moving."
score: 0.341378 | segment id: 270 | term: "community college" | text: "whole thing i'm for sharing data and getting things done to help our kids in college but again if you go to all high school filling all these applications or what you like me and you go over there and"
score: 0.341206 | segment id: 257 | term: "College" | text: "a portal to figure out where where they go i mean then what is the purpose of having them i mean when you go to college a lot of them don't know what they're going to do anyway and that's the reason w"
score: 0.340963 | segment id: 0 | term: "Western Interstate Commission for Higher Education" | text: "Good afternoon and welcome to the Committee on Higher Education."
score: 0.340929 | segment id: 43 | term: "Hawaiʻi Teacher Standards Board" | text: "This relates to the University of Hawaii Conference Center Revolving Fund."
